,buying,maint,doors,persons,lug_boot,safety,class
0,1,1,1,1,1,1,1
1,1,1,1,1,1,2,1
2,1,1,1,1,2,3,1
3,1,1,1,1,2,1,1
4,1,1,1,1,2,2,1
5,1,1,1,1,3,3,1
6,1,1,1,1,3,1,1
7,1,1,1,1,3,2,1
8,1,1,1,2,1,3,1
9,1,1,1,2,1,1,1
10,1,1,1,2,1,2,1
11,1,1,1,2,2,3,1
12,1,1,1,2,2,1,1
13,1,1,1,2,2,2,1
14,1,1,1,2,3,3,1
15,1,1,1,2,3,1,1
16,1,1,1,2,3,2,1
17,1,1,1,3,1,3,1
18,1,1,1,3,1,1,1
19,1,1,1,3,1,2,1
20,1,1,1,3,2,3,1
21,1,1,1,3,2,1,1
22,1,1,1,3,2,2,1
23,1,1,1,3,3,3,1
24,1,1,1,3,3,1,1
25,1,1,1,3,3,2,1
26,1,1,2,1,1,3,1
27,1,1,2,1,1,1,1
28,1,1,2,1,1,2,1
29,1,1,2,1,2,3,1
30,1,1,2,1,2,1,1
31,1,1,2,1,2,2,1
32,1,1,2,1,3,3,1
33,1,1,2,1,3,1,1
34,1,1,2,1,3,2,1
35,1,1,2,2,1,3,1
36,1,1,2,2,1,1,1
37,1,1,2,2,1,2,1
38,1,1,2,2,2,3,1
39,1,1,2,2,2,1,1
40,1,1,2,2,2,2,1
41,1,1,2,2,3,3,1
42,1,1,2,2,3,1,1
43,1,1,2,2,3,2,1
44,1,1,2,3,1,3,1
45,1,1,2,3,1,1,1
46,1,1,2,3,1,2,1
47,1,1,2,3,2,3,1
48,1,1,2,3,2,1,1
49,1,1,2,3,2,2,1
50,1,1,2,3,3,3,1
51,1,1,2,3,3,1,1
52,1,1,2,3,3,2,1
53,1,1,3,1,1,3,1
54,1,1,3,1,1,1,1
55,1,1,3,1,1,2,1
56,1,1,3,1,2,3,1
57,1,1,3,1,2,1,1
58,1,1,3,1,2,2,1
59,1,1,3,1,3,3,1
60,1,1,3,1,3,1,1
61,1,1,3,1,3,2,1
62,1,1,3,2,1,3,1
63,1,1,3,2,1,1,1
64,1,1,3,2,1,2,1
65,1,1,3,2,2,3,1
66,1,1,3,2,2,1,1
67,1,1,3,2,2,2,1
68,1,1,3,2,3,3,1
69,1,1,3,2,3,1,1
70,1,1,3,2,3,2,1
71,1,1,3,3,1,3,1
72,1,1,3,3,1,1,1
73,1,1,3,3,1,2,1
74,1,1,3,3,2,3,1
75,1,1,3,3,2,1,1
76,1,1,3,3,2,2,1
77,1,1,3,3,3,3,1
78,1,1,3,3,3,1,1
79,1,1,3,3,3,2,1
80,1,1,4,1,1,3,1
81,1,1,4,1,1,1,1
82,1,1,4,1,1,2,1
83,1,1,4,1,2,3,1
84,1,1,4,1,2,1,1
85,1,1,4,1,2,2,1
86,1,1,4,1,3,3,1
87,1,1,4,1,3,1,1
88,1,1,4,1,3,2,1
89,1,1,4,2,1,3,1
90,1,1,4,2,1,1,1
91,1,1,4,2,1,2,1
92,1,1,4,2,2,3,1
93,1,1,4,2,2,1,1
94,1,1,4,2,2,2,1
95,1,1,4,2,3,3,1
96,1,1,4,2,3,1,1
97,1,1,4,2,3,2,1
98,1,1,4,3,1,3,1
99,1,1,4,3,1,1,1
100,1,1,4,3,1,2,1
101,1,1,4,3,2,3,1
102,1,1,4,3,2,1,1
103,1,1,4,3,2,2,1
104,1,1,4,3,3,3,1
105,1,1,4,3,3,1,1
106,1,1,4,3,3,2,1
107,1,2,1,1,1,3,1
108,1,2,1,1,1,1,1
109,1,2,1,1,1,2,1
110,1,2,1,1,2,3,1
111,1,2,1,1,2,1,1
112,1,2,1,1,2,2,1
113,1,2,1,1,3,3,1
114,1,2,1,1,3,1,1
115,1,2,1,1,3,2,1
116,1,2,1,2,1,3,1
117,1,2,1,2,1,1,1
118,1,2,1,2,1,2,1
119,1,2,1,2,2,3,1
120,1,2,1,2,2,1,1
121,1,2,1,2,2,2,1
122,1,2,1,2,3,3,1
123,1,2,1,2,3,1,1
124,1,2,1,2,3,2,1
125,1,2,1,3,1,3,1
126,1,2,1,3,1,1,1
127,1,2,1,3,1,2,1
128,1,2,1,3,2,3,1
129,1,2,1,3,2,1,1
130,1,2,1,3,2,2,1
131,1,2,1,3,3,3,1
132,1,2,1,3,3,1,1
133,1,2,1,3,3,2,1
134,1,2,2,1,1,3,1
135,1,2,2,1,1,1,1
136,1,2,2,1,1,2,1
137,1,2,2,1,2,3,1
138,1,2,2,1,2,1,1
139,1,2,2,1,2,2,1
140,1,2,2,1,3,3,1
141,1,2,2,1,3,1,1
142,1,2,2,1,3,2,1
143,1,2,2,2,1,3,1
144,1,2,2,2,1,1,1
145,1,2,2,2,1,2,1
146,1,2,2,2,2,3,1
147,1,2,2,2,2,1,1
148,1,2,2,2,2,2,1
149,1,2,2,2,3,3,1
150,1,2,2,2,3,1,1
151,1,2,2,2,3,2,1
152,1,2,2,3,1,3,1
153,1,2,2,3,1,1,1
154,1,2,2,3,1,2,1
155,1,2,2,3,2,3,1
156,1,2,2,3,2,1,1
157,1,2,2,3,2,2,1
158,1,2,2,3,3,3,1
159,1,2,2,3,3,1,1
160,1,2,2,3,3,2,1
161,1,2,3,1,1,3,1
162,1,2,3,1,1,1,1
163,1,2,3,1,1,2,1
164,1,2,3,1,2,3,1
165,1,2,3,1,2,1,1
166,1,2,3,1,2,2,1
167,1,2,3,1,3,3,1
168,1,2,3,1,3,1,1
169,1,2,3,1,3,2,1
170,1,2,3,2,1,3,1
171,1,2,3,2,1,1,1
172,1,2,3,2,1,2,1
173,1,2,3,2,2,3,1
174,1,2,3,2,2,1,1
175,1,2,3,2,2,2,1
176,1,2,3,2,3,3,1
177,1,2,3,2,3,1,1
178,1,2,3,2,3,2,1
179,1,2,3,3,1,3,1
180,1,2,3,3,1,1,1
181,1,2,3,3,1,2,1
182,1,2,3,3,2,3,1
183,1,2,3,3,2,1,1
184,1,2,3,3,2,2,1
185,1,2,3,3,3,3,1
186,1,2,3,3,3,1,1
187,1,2,3,3,3,2,1
188,1,2,4,1,1,3,1
189,1,2,4,1,1,1,1
190,1,2,4,1,1,2,1
191,1,2,4,1,2,3,1
192,1,2,4,1,2,1,1
193,1,2,4,1,2,2,1
194,1,2,4,1,3,3,1
195,1,2,4,1,3,1,1
196,1,2,4,1,3,2,1
197,1,2,4,2,1,3,1
198,1,2,4,2,1,1,1
199,1,2,4,2,1,2,1
200,1,2,4,2,2,3,1
201,1,2,4,2,2,1,1
202,1,2,4,2,2,2,1
203,1,2,4,2,3,3,1
204,1,2,4,2,3,1,1
205,1,2,4,2,3,2,1
206,1,2,4,3,1,3,1
207,1,2,4,3,1,1,1
208,1,2,4,3,1,2,1
209,1,2,4,3,2,3,1
210,1,2,4,3,2,1,1
211,1,2,4,3,2,2,1
212,1,2,4,3,3,3,1
213,1,2,4,3,3,1,1
214,1,2,4,3,3,2,1
215,1,3,1,1,1,3,1
216,1,3,1,1,1,1,1
217,1,3,1,1,1,2,1
218,1,3,1,1,2,3,1
219,1,3,1,1,2,1,1
220,1,3,1,1,2,2,1
221,1,3,1,1,3,3,1
222,1,3,1,1,3,1,1
223,1,3,1,1,3,2,1
224,1,3,1,2,1,3,1
225,1,3,1,2,1,1,1
226,1,3,1,2,1,2,2
227,1,3,1,2,2,3,1
228,1,3,1,2,2,1,1
229,1,3,1,2,2,2,2
230,1,3,1,2,3,3,1
231,1,3,1,2,3,1,2
232,1,3,1,2,3,2,2
233,1,3,1,3,1,3,1
234,1,3,1,3,1,1,1
235,1,3,1,3,1,2,1
236,1,3,1,3,2,3,1
237,1,3,1,3,2,1,1
238,1,3,1,3,2,2,2
239,1,3,1,3,3,3,1
240,1,3,1,3,3,1,2
241,1,3,1,3,3,2,2
242,1,3,2,1,1,3,1
243,1,3,2,1,1,1,1
244,1,3,2,1,1,2,1
245,1,3,2,1,2,3,1
246,1,3,2,1,2,1,1
247,1,3,2,1,2,2,1
248,1,3,2,1,3,3,1
249,1,3,2,1,3,1,1
250,1,3,2,1,3,2,1
251,1,3,2,2,1,3,1
252,1,3,2,2,1,1,1
253,1,3,2,2,1,2,2
254,1,3,2,2,2,3,1
255,1,3,2,2,2,1,1
256,1,3,2,2,2,2,2
257,1,3,2,2,3,3,1
258,1,3,2,2,3,1,2
259,1,3,2,2,3,2,2
260,1,3,2,3,1,3,1
261,1,3,2,3,1,1,1
262,1,3,2,3,1,2,2
263,1,3,2,3,2,3,1
264,1,3,2,3,2,1,2
265,1,3,2,3,2,2,2
266,1,3,2,3,3,3,1
267,1,3,2,3,3,1,2
268,1,3,2,3,3,2,2
269,1,3,3,1,1,3,1
270,1,3,3,1,1,1,1
271,1,3,3,1,1,2,1
272,1,3,3,1,2,3,1
273,1,3,3,1,2,1,1
274,1,3,3,1,2,2,1
275,1,3,3,1,3,3,1
276,1,3,3,1,3,1,1
277,1,3,3,1,3,2,1
278,1,3,3,2,1,3,1
279,1,3,3,2,1,1,1
280,1,3,3,2,1,2,2
281,1,3,3,2,2,3,1
282,1,3,3,2,2,1,2
283,1,3,3,2,2,2,2
284,1,3,3,2,3,3,1
285,1,3,3,2,3,1,2
286,1,3,3,2,3,2,2
287,1,3,3,3,1,3,1
288,1,3,3,3,1,1,1
289,1,3,3,3,1,2,2
290,1,3,3,3,2,3,1
291,1,3,3,3,2,1,2
292,1,3,3,3,2,2,2
293,1,3,3,3,3,3,1
294,1,3,3,3,3,1,2
295,1,3,3,3,3,2,2
296,1,3,4,1,1,3,1
297,1,3,4,1,1,1,1
298,1,3,4,1,1,2,1
299,1,3,4,1,2,3,1
300,1,3,4,1,2,1,1
301,1,3,4,1,2,2,1
302,1,3,4,1,3,3,1
303,1,3,4,1,3,1,1
304,1,3,4,1,3,2,1
305,1,3,4,2,1,3,1
306,1,3,4,2,1,1,1
307,1,3,4,2,1,2,2
308,1,3,4,2,2,3,1
309,1,3,4,2,2,1,2
310,1,3,4,2,2,2,2
311,1,3,4,2,3,3,1
312,1,3,4,2,3,1,2
313,1,3,4,2,3,2,2
314,1,3,4,3,1,3,1
315,1,3,4,3,1,1,1
316,1,3,4,3,1,2,2
317,1,3,4,3,2,3,1
318,1,3,4,3,2,1,2
319,1,3,4,3,2,2,2
320,1,3,4,3,3,3,1
321,1,3,4,3,3,1,2
322,1,3,4,3,3,2,2
323,1,4,1,1,1,3,1
324,1,4,1,1,1,1,1
325,1,4,1,1,1,2,1
326,1,4,1,1,2,3,1
327,1,4,1,1,2,1,1
328,1,4,1,1,2,2,1
329,1,4,1,1,3,3,1
330,1,4,1,1,3,1,1
331,1,4,1,1,3,2,1
332,1,4,1,2,1,3,1
333,1,4,1,2,1,1,1
334,1,4,1,2,1,2,2
335,1,4,1,2,2,3,1
336,1,4,1,2,2,1,1
337,1,4,1,2,2,2,2
338,1,4,1,2,3,3,1
339,1,4,1,2,3,1,2
340,1,4,1,2,3,2,2
341,1,4,1,3,1,3,1
342,1,4,1,3,1,1,1
343,1,4,1,3,1,2,1
344,1,4,1,3,2,3,1
345,1,4,1,3,2,1,1
346,1,4,1,3,2,2,2
347,1,4,1,3,3,3,1
348,1,4,1,3,3,1,2
349,1,4,1,3,3,2,2
350,1,4,2,1,1,3,1
351,1,4,2,1,1,1,1
352,1,4,2,1,1,2,1
353,1,4,2,1,2,3,1
354,1,4,2,1,2,1,1
355,1,4,2,1,2,2,1
356,1,4,2,1,3,3,1
357,1,4,2,1,3,1,1
358,1,4,2,1,3,2,1
359,1,4,2,2,1,3,1
360,1,4,2,2,1,1,1
361,1,4,2,2,1,2,2
362,1,4,2,2,2,3,1
363,1,4,2,2,2,1,1
364,1,4,2,2,2,2,2
365,1,4,2,2,3,3,1
366,1,4,2,2,3,1,2
367,1,4,2,2,3,2,2
368,1,4,2,3,1,3,1
369,1,4,2,3,1,1,1
370,1,4,2,3,1,2,2
371,1,4,2,3,2,3,1
372,1,4,2,3,2,1,2
373,1,4,2,3,2,2,2
374,1,4,2,3,3,3,1
375,1,4,2,3,3,1,2
376,1,4,2,3,3,2,2
377,1,4,3,1,1,3,1
378,1,4,3,1,1,1,1
379,1,4,3,1,1,2,1
380,1,4,3,1,2,3,1
381,1,4,3,1,2,1,1
382,1,4,3,1,2,2,1
383,1,4,3,1,3,3,1
384,1,4,3,1,3,1,1
385,1,4,3,1,3,2,1
386,1,4,3,2,1,3,1
387,1,4,3,2,1,1,1
388,1,4,3,2,1,2,2
389,1,4,3,2,2,3,1
390,1,4,3,2,2,1,2
391,1,4,3,2,2,2,2
392,1,4,3,2,3,3,1
393,1,4,3,2,3,1,2
394,1,4,3,2,3,2,2
395,1,4,3,3,1,3,1
396,1,4,3,3,1,1,1
397,1,4,3,3,1,2,2
398,1,4,3,3,2,3,1
399,1,4,3,3,2,1,2
400,1,4,3,3,2,2,2
401,1,4,3,3,3,3,1
402,1,4,3,3,3,1,2
403,1,4,3,3,3,2,2
404,1,4,4,1,1,3,1
405,1,4,4,1,1,1,1
406,1,4,4,1,1,2,1
407,1,4,4,1,2,3,1
408,1,4,4,1,2,1,1
409,1,4,4,1,2,2,1
410,1,4,4,1,3,3,1
411,1,4,4,1,3,1,1
412,1,4,4,1,3,2,1
413,1,4,4,2,1,3,1
414,1,4,4,2,1,1,1
415,1,4,4,2,1,2,2
416,1,4,4,2,2,3,1
417,1,4,4,2,2,1,2
418,1,4,4,2,2,2,2
419,1,4,4,2,3,3,1
420,1,4,4,2,3,1,2
421,1,4,4,2,3,2,2
422,1,4,4,3,1,3,1
423,1,4,4,3,1,1,1
424,1,4,4,3,1,2,2
425,1,4,4,3,2,3,1
426,1,4,4,3,2,1,2
427,1,4,4,3,2,2,2
428,1,4,4,3,3,3,1
429,1,4,4,3,3,1,2
430,1,4,4,3,3,2,2
431,2,1,1,1,1,3,1
432,2,1,1,1,1,1,1
433,2,1,1,1,1,2,1
434,2,1,1,1,2,3,1
435,2,1,1,1,2,1,1
436,2,1,1,1,2,2,1
437,2,1,1,1,3,3,1
438,2,1,1,1,3,1,1
439,2,1,1,1,3,2,1
440,2,1,1,2,1,3,1
441,2,1,1,2,1,1,1
442,2,1,1,2,1,2,1
443,2,1,1,2,2,3,1
444,2,1,1,2,2,1,1
445,2,1,1,2,2,2,1
446,2,1,1,2,3,3,1
447,2,1,1,2,3,1,1
448,2,1,1,2,3,2,1
449,2,1,1,3,1,3,1
450,2,1,1,3,1,1,1
451,2,1,1,3,1,2,1
452,2,1,1,3,2,3,1
453,2,1,1,3,2,1,1
454,2,1,1,3,2,2,1
455,2,1,1,3,3,3,1
456,2,1,1,3,3,1,1
457,2,1,1,3,3,2,1
458,2,1,2,1,1,3,1
459,2,1,2,1,1,1,1
460,2,1,2,1,1,2,1
461,2,1,2,1,2,3,1
462,2,1,2,1,2,1,1
463,2,1,2,1,2,2,1
464,2,1,2,1,3,3,1
465,2,1,2,1,3,1,1
466,2,1,2,1,3,2,1
467,2,1,2,2,1,3,1
468,2,1,2,2,1,1,1
469,2,1,2,2,1,2,1
470,2,1,2,2,2,3,1
471,2,1,2,2,2,1,1
472,2,1,2,2,2,2,1
473,2,1,2,2,3,3,1
474,2,1,2,2,3,1,1
475,2,1,2,2,3,2,1
476,2,1,2,3,1,3,1
477,2,1,2,3,1,1,1
478,2,1,2,3,1,2,1
479,2,1,2,3,2,3,1
480,2,1,2,3,2,1,1
481,2,1,2,3,2,2,1
482,2,1,2,3,3,3,1
483,2,1,2,3,3,1,1
484,2,1,2,3,3,2,1
485,2,1,3,1,1,3,1
486,2,1,3,1,1,1,1
487,2,1,3,1,1,2,1
488,2,1,3,1,2,3,1
489,2,1,3,1,2,1,1
490,2,1,3,1,2,2,1
491,2,1,3,1,3,3,1
492,2,1,3,1,3,1,1
493,2,1,3,1,3,2,1
494,2,1,3,2,1,3,1
495,2,1,3,2,1,1,1
496,2,1,3,2,1,2,1
497,2,1,3,2,2,3,1
498,2,1,3,2,2,1,1
499,2,1,3,2,2,2,1
500,2,1,3,2,3,3,1
501,2,1,3,2,3,1,1
502,2,1,3,2,3,2,1
503,2,1,3,3,1,3,1
504,2,1,3,3,1,1,1
505,2,1,3,3,1,2,1
506,2,1,3,3,2,3,1
507,2,1,3,3,2,1,1
508,2,1,3,3,2,2,1
509,2,1,3,3,3,3,1
510,2,1,3,3,3,1,1
511,2,1,3,3,3,2,1
512,2,1,4,1,1,3,1
513,2,1,4,1,1,1,1
514,2,1,4,1,1,2,1
515,2,1,4,1,2,3,1
516,2,1,4,1,2,1,1
517,2,1,4,1,2,2,1
518,2,1,4,1,3,3,1
519,2,1,4,1,3,1,1
520,2,1,4,1,3,2,1
521,2,1,4,2,1,3,1
522,2,1,4,2,1,1,1
523,2,1,4,2,1,2,1
524,2,1,4,2,2,3,1
525,2,1,4,2,2,1,1
526,2,1,4,2,2,2,1
527,2,1,4,2,3,3,1
528,2,1,4,2,3,1,1
529,2,1,4,2,3,2,1
530,2,1,4,3,1,3,1
531,2,1,4,3,1,1,1
532,2,1,4,3,1,2,1
533,2,1,4,3,2,3,1
534,2,1,4,3,2,1,1
535,2,1,4,3,2,2,1
536,2,1,4,3,3,3,1
537,2,1,4,3,3,1,1
538,2,1,4,3,3,2,1
539,2,2,1,1,1,3,1
540,2,2,1,1,1,1,1
541,2,2,1,1,1,2,1
542,2,2,1,1,2,3,1
543,2,2,1,1,2,1,1
544,2,2,1,1,2,2,1
545,2,2,1,1,3,3,1
546,2,2,1,1,3,1,1
547,2,2,1,1,3,2,1
548,2,2,1,2,1,3,1
549,2,2,1,2,1,1,1
550,2,2,1,2,1,2,2
551,2,2,1,2,2,3,1
552,2,2,1,2,2,1,1
553,2,2,1,2,2,2,2
554,2,2,1,2,3,3,1
555,2,2,1,2,3,1,2
556,2,2,1,2,3,2,2
557,2,2,1,3,1,3,1
558,2,2,1,3,1,1,1
559,2,2,1,3,1,2,1
560,2,2,1,3,2,3,1
561,2,2,1,3,2,1,1
562,2,2,1,3,2,2,2
563,2,2,1,3,3,3,1
564,2,2,1,3,3,1,2
565,2,2,1,3,3,2,2
566,2,2,2,1,1,3,1
567,2,2,2,1,1,1,1
568,2,2,2,1,1,2,1
569,2,2,2,1,2,3,1
570,2,2,2,1,2,1,1
571,2,2,2,1,2,2,1
572,2,2,2,1,3,3,1
573,2,2,2,1,3,1,1
574,2,2,2,1,3,2,1
575,2,2,2,2,1,3,1
576,2,2,2,2,1,1,1
577,2,2,2,2,1,2,2
578,2,2,2,2,2,3,1
579,2,2,2,2,2,1,1
580,2,2,2,2,2,2,2
581,2,2,2,2,3,3,1
582,2,2,2,2,3,1,2
583,2,2,2,2,3,2,2
584,2,2,2,3,1,3,1
585,2,2,2,3,1,1,1
586,2,2,2,3,1,2,2
587,2,2,2,3,2,3,1
588,2,2,2,3,2,1,2
589,2,2,2,3,2,2,2
