Make,Model,Variant,Displacement,Fuel_Type,Body_Type,Seating_Capacity,City_Mileage
Hyundai,Tucson,2Wd At Gls Petrol,1999 cc,Petrol,SUV,5,13.3 kmpl
Hyundai,Tucson,2Wd At Gl(O) Petrol,1999 cc,Petrol,SUV,5,13.3 kmpl
Hyundai,Tucson,2Wd At Gl(O) Diesel,1995 cc,Diesel,SUV,5,16.38 kmpl
Volkswagen,Passat,2.0 Tdi Comfortline,1968 cc,Diesel,Sedan,5,
Volkswagen,Passat,2.0 Tdi Highline,1968 cc,Diesel,Sedan,5,
Volkswagen,Passat,2.0 Tdi Comfortline Connect,1968 cc,Diesel,Sedan,5,
Volkswagen,Passat,2.0 Tdi Highline Connect,1968 cc,Diesel,Sedan,5,
,Mercedes-Benz A-Class,180,1595 cc,Petrol,Hatchback,5,12.03 kmpl
,Mercedes-Benz A-Class,200D,2143 cc,Diesel,Hatchback,5,12.03 kmpl
Volvo,V40 Cross Country,D3,1984 cc,Diesel,Hatchback,5,13.05 kmpl
Volvo,V40 Cross Country,T4,1596 cc,Petrol,Hatchback,5,12 kmpl
Mini,Countryman,Cooper S,1998 cc,Petrol,Hatchback,5,
Mini,Countryman,Cooper Sd,1998 cc,Diesel,Hatchback,5,
Mini,Countryman,Cooper S Jcw Inspired,1998 cc,Petrol,Hatchback,5,
Mini,Countryman,Black Edition,1998 cc,Petrol,Hatchback,5,
,Mercedes-Benz C-Class,C 220D Prime,1950 cc,Diesel,Sedan,5,
,Mercedes-Benz C-Class,C 220D Progressive,1950 cc,Diesel,Sedan,5,
,Mercedes-Benz C-Class,C 300D Amg Line,1950 cc,Diesel,Sedan,5,
,Mercedes-Benz C-Class,C 43 Amg,3982 cc,Petrol,Coupe,5,
,Mercedes-Benz C-Class,C 200 Prime,1497 cc,Petrol,Sedan,5,
,Mercedes-Benz C-Class,C 200 Progressive,1497 cc,Petrol,Sedan,5,
Toyota,Prius,Z8,1798 cc,Hybrid,Sedan,5,15.1 kmpl
Lexus,Es,300H,2487 cc,Hybrid,Sedan,5,17.8 kmpl
Lexus,Nx 300H,F-Sport,2494 cc,Petrol,SUV,5,
Lexus,Nx 300H,Luxury,2494 cc,Petrol,SUV,5,
Jaguar,F-Pace,Prestige,1999 cc,Diesel,SUV,5,21.27 kmpl
Jaguar,F-Pace,Prestige Petrol,1997 cc,Petrol,SUV,5,
Volvo,V90 Cross Country,D5 Inscription,1969 cc,Diesel,SUV,5,13.2 kmpl
Audi,A5 Cabriolet,2.0 Tdi,1968 cc,Diesel,Convertible,4,
,Mercedes-Benz Gle,300D 4Matic,1950 cc,Diesel,SUV,5,
,Mercedes-Benz Gle,400D 4Matic Hip Hop Edition,2925 cc,Diesel,SUV,5,
,Mercedes-Benz Cls,300D,1950 cc,Diesel,Sedan,5,
Bmw,X7,Xdrive 40I,2998 cc,Petrol,SUV,7,
Bmw,X7,Xdrive30D Dpe Signature,2993 cc,Diesel,SUV,7,
Bmw,M4,Coupe,2979 cc,Petrol,Coupe,4,7.32 kmpl
Porsche,911,Carrera S,2981 cc,Petrol,Coupe,4,7.9 kmpl
Porsche,911,Carrera S Cabriolet,2981 cc,Petrol,Convertible,4,11.6 kmpl
Nissan,Gtr,3.8 V6,3799 cc,Petrol,Coupe,4,9 kmpl
Aston Martin,Vantage,Coupe,3982 cc,Petrol,Coupe,2,5 kmpl
Aston Martin,Rapide,Luxe,5935 cc,Petrol,Sedan,4,9.1 kmpl
Ferrari,812 Superfast,Superfast,6496 cc,Petrol,Coupe,2,
Maruti Suzuki,Alto 800 Tour,H1,796 cc,Petrol,Hatchback,5,18 kmpl
Maruti Suzuki,Alto 800 Tour,H1 (O),796 cc,Petrol,Hatchback,5,18 kmpl
Hyundai,Grand I10 Nios,Magna 1.2 Crdi,1186 cc,Diesel,Hatchback,5,20.7 kmpl
Hyundai,Grand I10 Nios,Era 1.2 Vtvt,1197 cc,Petrol,Hatchback,5,
Hyundai,Grand I10 Nios,Magna 1.2 Vtvt,1197 cc,Petrol,Hatchback,5,
Hyundai,Grand I10 Nios,Magna Amt 1.2 Vtvt,1197 cc,Petrol,Hatchback,5,
Hyundai,Grand I10 Nios,Sportz 1.2 Vtvt,1197 cc,Petrol,Hatchback,5,
Hyundai,Grand I10 Nios,Sportz Amt 1.2 Vtvt,1197 cc,Petrol,Hatchback,5,
Hyundai,Grand I10 Nios,Sportz Dual Tone 1.2 Vtvt,1197 cc,Petrol,Hatchback,5,
Hyundai,Grand I10 Nios,Asta 1.2 Vtvt,1197 cc,Petrol,Hatchback,5,
Hyundai,Grand I10 Nios,Sportz Amt 1.2 Crdi,1186 cc,Diesel,Hatchback,5,
Hyundai,Grand I10 Nios,Asta 1.2 Crdi,1186 cc,Diesel,Hatchback,5,
Hyundai,Xcent,S 1.2,1197 cc,Petrol,Sedan,5,15.7 kmpl
Hyundai,Xcent,S At 1.2,1197 cc,Petrol,Sedan,5,15.7 kmpl
Hyundai,Xcent,Sx 1.2,1197 cc,Petrol,Sedan,5,15.7 kmpl
Hyundai,Xcent,Sx 1.2 (O),1197 cc,Petrol,Sedan,5,15.7 kmpl
Hyundai,Xcent,S 1.2 Crdi,1120 cc,Diesel,Sedan,5,19 kmpl
Hyundai,Xcent,E,1197 cc,Petrol,Sedan,5,15.7 kmpl
Hyundai,Xcent,Sx 1.2 Crdi,1120 cc,Diesel,Sedan,5,19 kmpl
Hyundai,Xcent,Sx 1.2 Crdi (O),1120 cc,Diesel,Sedan,5,19 kmpl
Hyundai,Xcent,E Crdi,1197 cc,Diesel,Sedan,5,19 kmpl
Nissan,Micra,Xl (O) Cvt,1198 cc,Petrol,Hatchback,5,
Nissan,Micra,Xv Cvt,1198 cc,Petrol,Hatchback,5,
Nissan,Micra,Xld (O),1461 cc,Diesel,Hatchback,5,
Nissan,Micra,Xvd,1461 cc,Diesel,Hatchback,5,19.5 kmpl
Mahindra,Bolero,Zlx,2523 cc,Diesel,SUV,7,9.4 kmpl
Mahindra,Bolero,Slx,2523 cc,Diesel,SUV,7,12.3 kmpl
Mahindra,Bolero,Sle,2523 cc,Diesel,SUV,7,12.3 kmpl
Mahindra,Bolero,Ex,2523 cc,Diesel,SUV,7,9.4 kmpl
Mahindra,Bolero,Ex Non Ac,2523 cc,Diesel,SUV,7,9.4 kmpl
Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,1248 cc,Diesel,Sedan,5,28.09 kmpl
Maruti Suzuki,Ciaz,1.3L Sigma Smart Hybrid,1248 cc,Diesel,Sedan,5,28.09 kmpl
Maruti Suzuki,Ciaz,1.3L Delta Smart Hybrid,1248 cc,Diesel,Sedan,5,28.09 kmpl
Maruti Suzuki,Ciaz,1.3L Zeta Smart Hybrid,1248 cc,Diesel,Sedan,5,28.09 kmpl
Maruti Suzuki,Ciaz,1.5L Sigma Smart Hybrid,1462 cc,Petrol,Sedan,5,
Maruti Suzuki,Ciaz,1.5L Delta Smart Hybrid,1462 cc,Petrol,Sedan,5,
Maruti Suzuki,Ciaz,1.5L Zeta Smart Hybrid,1462 cc,Petrol,Sedan,5,21.56 kmpl
Maruti Suzuki,Ciaz,1.5L Alpha Smart Hybrid,1462 cc,Petrol,Sedan,5,
Maruti Suzuki,Ciaz,1.5L Delta At Smart Hybrid,1462 cc,Petrol,Sedan,5,
Maruti Suzuki,Ciaz,1.5L Zeta At Smart Hybrid,1462 cc,Petrol,Sedan,5,
Maruti Suzuki,Ciaz,1.5L Alpha At Smart Hybrid,1462 cc,Petrol,Sedan,5,
Maruti Suzuki,Ciaz,1.5L Alpha,1498 cc,Diesel,Sedan,5,26.82 kmpl
Maruti Suzuki,Ciaz,1.5L Delta,1498 cc,Diesel,Sedan,5,26032 kmpl
Maruti Suzuki,Ciaz,1.5L Zeta,1498 cc,Diesel,Sedan,5,26.32 kmpl
Skoda,Rapid,1.6 Mpi Ambition,1598 cc,Petrol,Sedan,5,12 kmpl
Skoda,Rapid,1.5 Tdi Cr Active,1498 cc,Diesel,Sedan,5,14.5 kmpl
Skoda,Rapid,1.6 Mpi Active,1598 cc,Petrol,Sedan,5,12 kmpl
Skoda,Rapid,1.5 Tdi Cr Ambition,1498 cc,Diesel,Sedan,5,14.5 kmpl
Skoda,Rapid,1.5 Tdi Cr Ambition At,1498 cc,Diesel,Sedan,5,14.5 kmpl
Skoda,Rapid,1.6 Mpi Style At,1598 cc,Petrol,Sedan,5,12 kmpl
Skoda,Rapid,1.5 Tdi Cr Style At,1498 cc,Diesel,Sedan,5,18 kmpl
Skoda,Rapid,1.5 Tdi Cr Style,1498 cc,Diesel,Sedan,5,18 kmpl
Skoda,Rapid,1.6 Mpi Style,1598 cc,Petrol,Sedan,5,12 kmpl
Skoda,Rapid,1.6 Mpi Ambition At,1598 cc,Petrol,Sedan,5,12 kmpl
Skoda,Rapid,Onyx Mt Petrol,1598 cc,Petrol,Sedan,5,12 kmpl
Skoda,Rapid,Onyx At Petrol,1598 cc,Petrol,Sedan,5,12 kmpl
Skoda,Rapid,Onyx Mt Diesel,1498 cc,Diesel,Sedan,5,18 kmpl
Skoda,Rapid,Onyx At Diesel,1498 cc,Diesel,Sedan,5,18 kmpl
Fiat,Abarth Punto,1.4 T-Jet,1368 cc,Petrol,Hatchback,5,17 kmpl
Hyundai,Creta,1.4 Crdi E Plus,1396 cc,Diesel,SUV,5,21.38 kmpl
Hyundai,Creta,1.6 Vtvt E Plus,1591 cc,Petrol,SUV,5,15.29 kmpl
Hyundai,Creta,1.6 Vtvt Sx,1591 cc,Petrol,SUV,5,15.29 kmpl
Hyundai,Creta,1.6 Vtvt Sx (O),1591 cc,Petrol,SUV,5,15.29 kmpl
Hyundai,Creta,1.6 Vtvt Sx At,1591 cc,Petrol,SUV,5,15.29 kmpl
Hyundai,Creta,1.6 Vtvt Sx Dual Tone,1591 cc,Petrol,SUV,5,15.29 kmpl
Hyundai,Creta,1.4 Crdi S,1396 cc,Diesel,SUV,5,21.38 kmpl
Hyundai,Creta,1.6 Crdi Sx,1582 cc,Diesel,SUV,5,17.01 kmpl
Hyundai,Creta,1.6 Crdi Sx (O),1582 cc,Diesel,SUV,5,17.01 kmpl
Hyundai,Creta,1.6 Crdi Sx At,1582 cc,Diesel,SUV,5,17.01 kmpl
Hyundai,Creta,1.6 Crdi Sx Dual Tone,1582 cc,Diesel,SUV,5,17.01 kmpl
Hyundai,Creta,1.6 Crdi S At,1582 cc,Diesel,SUV,5,17.01 kmpl
Hyundai,Creta,1.6 Vtvt Sx (O) Executive,1591 cc,Petrol,SUV,5,15.29 kmpl
Hyundai,Creta,1.6 Crdi Sx (O) Executive,1582 cc,Diesel,SUV,5,17.01 kmpl
Hyundai,Creta,1.4 Crdi Ex,1396 cc,Diesel,SUV,5,21.38 kmpl
Hyundai,Creta,1.6 Vtvt Ex,1591 cc,Petrol,SUV,5,15.29 kmpl
Hyundai,Creta,Sports Edition Petrol,1591 cc,Petrol,SUV,5,15.29 kmpl
Hyundai,Creta,Sports Edition Diesel,1582 cc,Diesel,SUV,5,
Tata,Harrier,Revotorq Xe,1956 cc,Diesel,SUV,5,
Tata,Harrier,Revotorq Xm,1956 cc,Diesel,SUV,5,
Tata,Harrier,Revotorq Xt,1956 cc,Diesel,Hatchback,5,
Tata,Harrier,Revotorq Xz,1956 cc,Diesel,Hatchback,5,
Tata,Harrier,Revotorq Xz Dual Tone,1956 cc,Diesel,Hatchback,5,
Tata,Harrier,Revotorq Dark Edition,1956 cc,Diesel,Hatchback,5,
Isuzu,Dmax V-Cross,Standard,2499 cc,Diesel,Pick-up,5,7.3 kmpl
Isuzu,Dmax V-Cross,High Z,2499 cc,Diesel,Pick-up,5,7.3 kmpl
Isuzu,Dmax V-Cross,Z Prestige,1898 cc,Diesel,Pick-up,5,7.3 kmpl
Mitsubishi,Outlander,2.4L Outlander,2360 cc,Petrol,SUV,7,
,Mercedes-Benz Gla-Class,200 Sport,1991 cc,Petrol,SUV,5,10 kmpl
,Mercedes-Benz Gla-Class,200 D Style,2143 cc,Diesel,SUV,5,13.4 kmpl
,Mercedes-Benz Gla-Class,200 D Sport,2143 cc,Diesel,SUV,5,13.4 kmpl
,Mercedes-Benz Gla-Class,45 Amg 4Matic,1991 cc,Petrol,SUV,5,10.2 kmpl
,Mercedes-Benz Gla-Class,220 D 4Matic,2143 cc,Diesel,SUV,5,13.4 kmpl
,Mercedes-Benz Gla-Class,45 Aero Edition,1991 cc,Petrol,SUV,5,10.2 kmpl
Honda,Accord Hybrid,2.0 At,1993 cc,Hybrid,Sedan,5,21 kmpl
Bmw,5-Series,520D Luxury Line,1995 cc,Diesel,Sedan,5,8.4 kmpl
Bmw,5-Series,530D M Sport,2993 cc,Diesel,Sedan,5,13.1 kmpl
Bmw,5-Series,530I M Sport,1998 cc,Petrol,Sedan,5,15.01 kmpl
Bmw,6-Series,630D Gt Luxury Line,2993 cc,Diesel,Sedan,4,
Bmw,6-Series,630D Gt M Sport,2993 cc,Diesel,Sedan,4,
Bmw,6-Series,630I Gt Luxury Line,4395 cc,Petrol,Coupe,4,4.45 kmpl
Bmw,6-Series,620D Gt Luxury Line,1995 cc,Diesel,Sedan,4,
Porsche,Macan,S,2995 cc,Petrol,SUV,5,
Porsche,Macan,Base,1984 cc,Petrol,SUV,5,
Jaguar,F-Type,5.0 Convertible R,5000 cc,Petrol,Convertible,,12.05 kmpl
Jaguar,F-Type,5.0 Coupe R,5000 cc,Petrol,Coupe,2,7.81 kmpl
Jaguar,F-Type,Svr Coupe,5000 cc,Petrol,Coupe,2,
Jaguar,F-Type,Svr Convertible,5000 cc,Petrol,Convertible,2,
Jaguar,F-Type,2.0L Coupe,1997 cc,Petrol,Coupe,2,
Jaguar,F-Type,2.0L Convertible,1997 cc,Petrol,Convertible,2,
Jaguar,F-Type,2.0 Convertible R Dynamic,1997 cc,Petrol,Convertible,2,
Jaguar,F-Type,2.0 Coupe R Dynamic,1997 cc,Petrol,Coupe,2,
Bmw,M5,Competition,4395 cc,Petrol,Sedan,4,
Lexus,Lx 570,V8,5700 cc,Diesel,SUV,7,18 kmpl
Ferrari,458 Spider,V8,3902 cc,Petrol,"Coupe, Convertible",2,3.2 kmpl
Maruti Suzuki R,Wagon,Vxi,998 cc,Petrol,Hatchback,5,
Maruti Suzuki R,Wagon,Vxi Ags,998 cc,Petrol,Hatchback,5,
Maruti Suzuki R,Wagon,1.2L Zxi,1197 cc,Petrol,Hatchback,5,
Maruti Suzuki R,Wagon,Lxi,998 cc,Petrol,Hatchback,5,
Maruti Suzuki R,Wagon,1.2L Vxi,1197 cc,Petrol,Hatchback,5,
Maruti Suzuki R,Wagon,1.2L Vxi Ags,1197 cc,Petrol,Hatchback,5,
Maruti Suzuki R,Wagon,1.2L Zxi Ags,1197 cc,Petrol,Hatchback,5,
Maruti Suzuki R,Wagon,Lxi (O),998 cc,Petrol,Hatchback,5,
Maruti Suzuki R,Wagon,Vxi (O),998 cc,Petrol,Hatchback,5,
Maruti Suzuki R,Wagon,1.2L Vxi (O),1197 cc,Petrol,Hatchback,5,
Maruti Suzuki R,Wagon,1.2L Vxi Ags (O),1197 cc,Petrol,Hatchback,5,
Maruti Suzuki R,Wagon,Vxi Ags (O),998 cc,Petrol,Hatchback,5,
Maruti Suzuki R,Wagon,Lxi Cng,998 cc,CNG,Hatchback,5,
Maruti Suzuki R,Wagon,Lxi (O) Cng,998 cc,CNG,Hatchback,5,
Tata,Tiago Nrg,1.2L Revotron,1199 cc,Petrol,Crossover,5,
Tata,Tiago Nrg,1.05L Revotorq,1047 cc,Diesel,Crossover,5,
Tata,Tiago Nrg,1.2L Revotron Amt,1199 cc,Petrol,Crossover,5,
Mahindra,Nuvosport,N4,1493 cc,Diesel,SUV,7,13.8 kmpl
Mahindra,Nuvosport,N6,1493 cc,Diesel,SUV,7,13.8 kmpl
Mahindra,Nuvosport,N8,1493 cc,Diesel,SUV,7,13.8 kmpl
Mahindra,Nuvosport,N4 +,1493 cc,Diesel,SUV,7,13.8 kmpl
Mahindra,Nuvosport,N6 Amt,1493 cc,Diesel,SUV,7,12.8 kmpl
Mahindra,Nuvosport,N8 Amt,1493 cc,Diesel,SUV,7,12.8 kmpl
Nissan,Kicks,Xl Petrol,1498 cc,Petrol,SUV,5,
Nissan,Kicks,Xv Petrol,1498 cc,Petrol,SUV,5,
Nissan,Kicks,Xl Diesel,1461 cc,Diesel,SUV,5,
Nissan,Kicks,Xv Diesel,1461 cc,Diesel,SUV,5,
Nissan,Kicks,Xv Premium,1461 cc,Diesel,SUV,5,
Nissan,Kicks,Xv Premium (O),1461 cc,Diesel,SUV,5,
Nissan,Kicks,Xv Premium (O) Dual Tone,1461 cc,Diesel,SUV,5,
Nissan,Kicks,Xe Diesel,1461 cc,Diesel,SUV,5,
Tata,Winger,15S,2200 cc,Diesel,MUV,16,
Hyundai,Kona Electric,Premium,,Electric,SUV,4,
Toyota,Camry,Hybrid,2487 cc,Hybrid,Sedan,5,
Audi,A5,Sportback,1968 cc,Diesel,Sedan,5,
Land Rover,Discovery,3.0 Hse Diesel,2993 cc,Diesel,SUV,7,
Land Rover,Discovery,3.0 Se Diesel,2993 cc,Diesel,SUV,7,
Land Rover,Discovery,3.0 Hse Petrol,2995 cc,Petrol,SUV,7,
Land Rover,Discovery,3.0 Se Petrol,2995 cc,Petrol,SUV,7,
Land Rover,Discovery,3.0 S Diesel,2993 cc,Diesel,SUV,7,
Land Rover,Discovery,3.0 S Petrol,2995 cc,Petrol,SUV,7,
Land Rover,Discovery,3.0 Hse Luxury Diesel,2993 cc,Diesel,SUV,7,
Land Rover,Discovery,3.0 Hse Luxury Petrol,2995 cc,Petrol,SUV,7,
Lexus,Ls 500H,Luxury,3456 cc,Hybrid,SUV,5,
Lexus,Ls 500H,Ultra Luxury,3456 cc,Hybrid,SUV,5,
Lexus,Ls 500H,Distinct,3456 cc,Hybrid,SUV,5,
,Rolls-Royce Phantom,Sedan,6749 cc,Petrol,Sedan,5,10.2 kmpl
,Rolls-Royce Phantom,Ewb,6749 cc,Petrol,Sedan,5,10.2 kmpl
Fiat,Punto Evo,Dynamic 1.2,1172 cc,Petrol,Hatchback,5,15.8 kmpl
Fiat,Punto Evo,Active Multijet 1.3,1172 cc,Diesel,Hatchback,5,"21,2 kmpl"
Fiat,Punto Evo,Dynamic Multijet 1.3,1248 cc,Diesel,Hatchback,5,"21,2 kmpl"
Fiat,Punto Evo,Emotion Multijet 1.3,1248 cc,Diesel,Hatchback,5,"21,2 kmpl"
Toyota,Yaris,J,1496 cc,Petrol,Sedan,5,
Toyota,Yaris,G,1496 cc,Petrol,Sedan,5,
Toyota,Yaris,V,1498 cc,Petrol,Sedan,5,
Toyota,Yaris,Vx Cvt,1496 cc,Petrol,Sedan,5,
Toyota,Yaris,G Cvt,1496 cc,Petrol,Sedan,5,
Toyota,Yaris,J Cvt,1496 cc,Petrol,Sedan,5,
Toyota,Yaris,V Cvt,1496 cc,Petrol,Sedan,5,
Toyota,Yaris,Vx,1496 cc,Petrol,Sedan,5,
Toyota,Yaris,V (O),1498 cc,Petrol,Sedan,5,
Toyota,Yaris,J (O),1496 cc,Petrol,Sedan,5,
Toyota,Yaris,G (O),1496 cc,Petrol,Sedan,5,
Toyota,Yaris,J (O) Cvt,1496 cc,Petrol,Sedan,5,
Toyota,Yaris,G (O) Cvt,1496 cc,Petrol,Sedan,5,
Toyota,Yaris,V (O) Cvt,1498 cc,Petrol,Sedan,5,
Skoda,Octavia,Ambition 1.4 Tsi,1395 cc,Petrol,Sedan,5,
Skoda,Octavia,Ambition 2.0 Tdi Cr,1968 cc,Diesel,Sedan,5,
Skoda,Octavia,Style 1.4 Tsi,1395 cc,Petrol,Sedan,5,
Skoda,Octavia,Style 1.8 Tsi At,1798 cc,Petrol,Sedan,5,
Skoda,Octavia,Style 2.0 Tdi Cr,1968 cc,Diesel,Sedan,5,
Skoda,Octavia,Style 2.0 Tdi Cr At,1968 cc,Diesel,Sedan,5,
Skoda,Octavia,L & K 1.8 Tsi At,1798 cc,Petrol,Sedan,5,
Skoda,Octavia,L & K 2.0 Tdi Cr At,1968 cc,Diesel,Sedan,5,
Skoda,Octavia,Corporate Edition 1.4 Tsi,1395 cc,Petrol,Sedan,5,
Skoda,Octavia,Corporate Edition 2.0 Tdi,1968 cc,Diesel,Sedan,5,
Skoda,Octavia,Onyx 1.8 Tsi Dsg,1798 cc,Petrol,Sedan,5,
Skoda,Octavia,Onyx 2.0 Tdi Dsg,1968 cc,Diesel,Sedan,5,
,Mercedes-Benz Glc,200 Progressive,1991 cc,Petrol,SUV,5,
,Mercedes-Benz Glc,220D 4Matic Progressive,1950 cc,Diesel,SUV,5,
Porsche,Cayenne Coupe,Base,2995 cc,Petrol,,,
Porsche,Cayenne Coupe,Turbo,2995 cc,Petrol,,,
Mahindra,Verito,1.5 D2,1461 cc,Diesel,Sedan,5,18 kmpl
Mahindra,Verito,1.5 D4 Bs-Iv,1461 cc,Diesel,Sedan,5,18 kmpl
Mahindra,Verito,1.5 D6 Bs-Iv,1461 cc,Diesel,Sedan,5,18 kmpl
Mitsubishi,Pajero Sport,2.5 Mt,2477 cc,Diesel,SUV,7,6.5 kmpl
Mitsubishi,Pajero Sport,2.5 At,2477 cc,Diesel,SUV,7,6.5 kmpl
Mitsubishi,Pajero Sport,Limited Edition,2477 cc,Diesel,SUV,7,6.5 kmpl
Mitsubishi,Pajero Sport,Select Plus Mt,2477 cc,Diesel,SUV,7,6.5 kmpl
Mitsubishi,Pajero Sport,Select Plus At,2477 cc,Diesel,SUV,7,6.5 kmpl
Bentley,Flying Spur,V8,3993 cc,Petrol,Sedan,4,2 kmpl
Bentley,Flying Spur,W12,5998 cc,Petrol,Sedan,4,2 kmpl
Honda,City,Sv Mt Petrol,1497 cc,Petrol,Sedan,5,14.3 kmpl
Honda,City,V Mt Petrol,1497 cc,Petrol,Sedan,5,14.3 kmpl
Honda,City,Vx Mt Petrol,1497 cc,Petrol,Sedan,5,14.3 kmpl
Honda,City,Vx Cvt Petrol,1497 cc,Petrol,Sedan,5,14.3 kmpl
Honda,City,Sv Mt Diesel,1498 cc,Diesel,Sedan,5,22.6 kmpl
Honda,City,V Mt Diesel,1498 cc,Diesel,Sedan,5,22.6 kmpl
Honda,City,Vx Mt Diesel,1498 cc,Diesel,Sedan,5,22.6 kmpl
Honda,City,Zx Mt Diesel,1498 cc,Diesel,Sedan,5,22.6 kmpl
Honda,City,Zx Cvt Petrol,1497 cc,Petrol,Sedan,5,18 kmpl
Honda,City,V Cvt Petrol,1497 cc,Petrol,Sedan,5,14.3 kmpl
Mitsubishi,Montero,3.2 At,3200 cc,Diesel,SUV,7,8.25 kmpl
